
央视频道,#genre#
CCTV-1 综合,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226559/index.m3u8$LR•IPV4•5『线路1』
CCTV-1 综合,http://218.13.14.6:60050/tsfile/live/1001_1.m3u8$LR•IPV4•5『线路2』
CCTV-1 综合,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001022/index.m3u8$LR•IPV6•5『线路3』
CCTV-1 综合,http://148.135.93.213:81/live.php?id=CCTV1$LR•IPV4•5『线路4』
CCTV-1 综合,https://node1.olelive.com:6443/live/CCTV1HD/hls.m3u8$LR•IPV4•5『线路5』
CCTV-10 科教,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226473/index.m3u8$LR•IPV4•5『线路1』
CCTV-10 科教,http://218.13.14.6:60050/tsfile/live/1010_1.m3u8$LR•IPV4•5『线路2』
CCTV-10 科教,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001238/index.m3u8$LR•IPV6•5『线路3』
CCTV-10 科教,http://148.135.93.213:81/live.php?id=CCTV10$LR•IPV4•5『线路4』
CCTV-10 科教,https://node1.olelive.com:6443/live/CCTV10HD/hls.m3u8$LR•IPV4•5『线路5』
CCTV-11 戏曲,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226565/index.m3u8$LR•IPV4•5『线路1』
CCTV-11 戏曲,http://218.13.14.6:60050/tsfile/live/1011_1.m3u8$LR•IPV4•5『线路2』
CCTV-11 戏曲,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001309/index.m3u8$LR•IPV6•5『线路3』
CCTV-11 戏曲,http://183.196.25.171:808/hls/11/index.m3u8$LR•IPV4•5『线路4』
CCTV-11 戏曲,http://148.135.93.213:81/live.php?id=CCTV11$LR•IPV4•5『线路5』
CCTV-12 社会与法,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226568/index.m3u8$LR•IPV4•4『线路1』
CCTV-12 社会与法,http://218.13.14.6:60050/tsfile/live/1012_1.m3u8$LR•IPV4•4『线路2』
CCTV-12 社会与法,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001239/index.m3u8$LR•IPV6•4『线路3』
CCTV-12 社会与法,http://148.135.93.213:81/live.php?id=CCTV12$LR•IPV4•4『线路4』
CCTV-13 新闻,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226571/index.m3u8$LR•IPV4•5『线路1』
CCTV-13 新闻,http://218.13.14.6:60050/tsfile/live/1013_1.m3u8$LR•IPV4•5『线路2』
CCTV-13 新闻,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001328/index.m3u8$LR•IPV6•5『线路3』
CCTV-13 新闻,http://148.135.93.213:81/live.php?id=CCTV13$LR•IPV4•5『线路4』
CCTV-13 新闻,https://node1.olelive.com:6443/live/CCTV13HD/hls.m3u8$LR•IPV4•5『线路5』
CCTV-14 少儿,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226591/index.m3u8$LR•IPV4•4『线路1』
CCTV-14 少儿,http://218.13.14.6:60050/tsfile/live/1014_1.m3u8$LR•IPV4•4『线路2』
CCTV-14 少儿,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001240/index.m3u8$LR•IPV6•4『线路3』
CCTV-14 少儿,http://148.135.93.213:81/live.php?id=CCTV14$LR•IPV4•4『线路4』
CCTV-15 音乐,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226476/index.m3u8$LR•IPV4•4『线路1』
CCTV-15 音乐,http://218.13.14.6:60050/tsfile/live/1015_1.m3u8$LR•IPV4•4『线路2』
CCTV-15 音乐,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001338/index.m3u8$LR•IPV6•4『线路3』
CCTV-15 音乐,http://148.135.93.213:81/live.php?id=CCTV15$LR•IPV4•4『线路4』
CCTV-16 奥林匹克,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226100/index.m3u8$LR•IPV4•4『线路1』
CCTV-16 奥林匹克,http://www.lizhinas.top:1009/rtp/239.252.220.237:5140$LR•IPV4•4『线路2』
CCTV-16 奥林匹克,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001258/index.m3u8$LR•IPV6•4『线路3』
CCTV-16 奥林匹克,http://148.135.93.213:81/live.php?id=CCTV16$LR•IPV4•4『线路4』
CCTV-17 农业农村,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225765/index.m3u8$LR•IPV4•6『线路1』
